Model,Crop Pest Combination,R2,MAE,MSE,Count,Data_size
HistGradientBoostingRegressor,Hostvete_Brunrost,0.7686027140209167,0.8073274252670392,14.29080362085032,1,19595
DecisionTreeRegressor,Hostvete_Brunrost,0.5154401452876117,0.9662526832260045,29.92580356741286,1,19595
XGBRegressor,Hostvete_Brunrost,0.7451459231158583,0.8964941917433439,15.739465349881316,1,19595
FFNN,Hostvete_Brunrost,0.7021118854354622,0.8205654275584533,18.397193070846914,1,19595
SVR,Hostvete_Brunrost,0.7286166097897899,1.230521916076953,16.760294828199825,1,19595
HistGradientBoostingRegressor,Ragvete_Brunrost,0.3070940080532347,0.9910583857150173,20.075513596232636,1,2312
DecisionTreeRegressor,Ragvete_Brunrost,0.2559466420551466,0.6313476733977174,21.5574024143986,1,2312
XGBRegressor,Ragvete_Brunrost,0.4919755810487698,0.7233827852225031,14.718953578708794,1,2312
FFNN,Ragvete_Brunrost,-0.3387250966703319,2.3574849445757944,38.78678232282902,1,2312
SVR,Ragvete_Brunrost,0.5332235893833865,1.091658020835549,13.52387811138229,1,2312
HistGradientBoostingRegressor,Ragvete_Bladfläcksvampar,0.5272009950748446,2.5729036278338238,35.37913406878593,1,2312
DecisionTreeRegressor,Ragvete_Bladfläcksvampar,0.19564336084314904,3.0167678100263853,60.18930048372911,1,2312
XGBRegressor,Ragvete_Bladfläcksvampar,0.4484577837482311,2.7786279245580525,41.271419377152874,1,2312
FFNN,Ragvete_Bladfläcksvampar,-0.005966393408695758,4.395968424527789,75.27558123083035,1,2312
SVR,Ragvete_Bladfläcksvampar,0.6145192620793569,2.1997088680959176,28.845184879329157,1,2312
HistGradientBoostingRegressor,Ragvete_Gulrost,0.8780021038822071,2.729495565450142,39.252146314564406,1,2312
DecisionTreeRegressor,Ragvete_Gulrost,0.7542021346764487,3.344956063268892,79.08409964850615,1,2312
XGBRegressor,Ragvete_Gulrost,0.8604804107720634,2.924168755077418,44.889653874319386,1,2312
FFNN,Ragvete_Gulrost,0.35721987320853643,7.155448104257454,206.81094008827773,1,2312
SVR,Ragvete_Gulrost,0.883267329251356,2.4331301920683908,37.55808925992931,1,2312
HistGradientBoostingRegressor,Ragvete_Sköldfläcksjuka,0.5035847486580138,1.4569904705850867,14.723551958016095,1,2312
DecisionTreeRegressor,Ragvete_Sköldfläcksjuka,0.20149157850749488,1.5180105633802816,23.683559683098586,1,2312
XGBRegressor,Ragvete_Sköldfläcksjuka,0.5071696884009259,1.383616583335595,14.617223543592019,1,2312
FFNN,Ragvete_Sköldfläcksjuka,-0.12347849877609351,2.9127694348843676,33.32209074101964,1,2312
SVR,Ragvete_Sköldfläcksjuka,0.6495208488947457,1.3852135991192733,10.395123795148264,1,2312
HistGradientBoostingRegressor,Ragvete_Mjöldagg,0.8076836232087663,7.297343833859736,126.78538839451606,1,2312
DecisionTreeRegressor,Ragvete_Mjöldagg,0.5937758236808656,9.916280809859156,267.8050139524648,1,2312
XGBRegressor,Ragvete_Mjöldagg,0.7761196218164581,8.009205084247508,147.59409040200543,1,2312
FFNN,Ragvete_Mjöldagg,0.7702836708522793,8.632729862637976,151.44146586731986,1,2312
